Date,Recorder,Site,Block,Group,Plot,Quadrant,Species,Cover,Notes
31/05/2023,Rona Learmonth,Knepp,N,0,333,1,Urtica dioica,25,
31/05/2023,Rona Learmonth,Knepp,N,0,333,1,Ranunculus repens,20,
31/05/2023,Rona Learmonth,Knepp,N,0,333,1,Agrostis stolonifera,80,
31/05/2023,Rona Learmonth,Knepp,N,0,333,1,Deschampsia cespitosa,1,
31/05/2023,Rona Learmonth,Knepp,N,0,333,1,Hedera helix,1,
31/05/2023,Rona Learmonth,Knepp,N,0,333,1,Mentha aquatica,4,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Agrostis stolonifera,80,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Urtica dioica,10,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Ranunculus repens,15,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Deschampsia cespitosa,5,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Mentha aquatica,1,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Elymus repens,4,
31/05/2023,Megan Sherlock,Knepp,N,0,333,2,Oenanthe crocata,3,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Agrostis stolonifera,80,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Rumex crispus,2,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Urtica dioica,8,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Ranunculus repens,35,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Deschampsia cespitosa,2,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Elymus repens,0.5,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Oenanthe crocata,2,
31/05/2023,Rona Learmonth,Knepp,N,0,333,3,Mentha aquatica,4,
31/05/2023,Megan Sherlock,Knepp,N,0,333,4,Urtica dioica,15,
31/05/2023,Megan Sherlock,Knepp,N,0,333,4,Agrostis stolonifera,70,
31/05/2023,Megan Sherlock,Knepp,N,0,333,4,Ranunculus repens,12,
31/05/2023,Megan Sherlock,Knepp,N,0,333,4,Mentha aquatica,5,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Agrostis stolonifera,35,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Trifolium repens,20,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Holcus lanatus,2,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Cirsium arvense,5,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Festuca rubra,60,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Cynosurus cristatus,0.3,
31/05/2023,Rona Learmonth,Knepp,N,0,111,1,Odontites vernus,3,
31/05/2023,Megan Sherlock,Knepp,N,0,111,2,Agrostis stolonifera,80,
31/05/2023,Megan Sherlock,Knepp,N,0,111,2,Festuca rubra,60,
31/05/2023,Megan Sherlock,Knepp,N,0,111,2,Cirsium arvense,20,
31/05/2023,Megan Sherlock,Knepp,N,0,111,2,Trifolium repens,10,
31/05/2023,Megan Sherlock,Knepp,N,0,111,2,Vicia sativa,2,
31/05/2023,Megan Sherlock,Knepp,N,0,111,2,Odontites vernus,0.5,
31/05/2023,Rona Learmonth,Knepp,N,0,111,3,Cirsium arvense,8,
31/05/2023,Rona Learmonth,Knepp,N,0,111,3,Trifolium repens,5,
31/05/2023,Rona Learmonth,Knepp,N,0,111,3,Festuca rubra,40,
31/05/2023,Rona Learmonth,Knepp,N,0,111,3,Agrostis stolonifera,30,
